"station","region","state","station_code","first date","height","longitude","latitude"
NOSSA SENHORA DA GLORIA,NE,SE,A453,"2017-03-24",271.0,-37.43194443,-10.20777777
SONORA,CO,MS,A761,"2012-11-30",495.25,-54.45361111,-17.63527777
ALTO PARAISO DE GOIAS,CO,GO,A024,"2007-06-04",1264.7,-47.52305554,-14.13305554
JARDIM,CO,MS,A758,"2011-08-04",252.47,-56.13694444,-21.47833332
JOAO PINHEIRO,SE,MG,A553,"2007-07-07",877.05,-46.11916666,-17.784477
JOACABA,S,SC,A841,"2007-09-20",776.0,-51.55888888,-27.16916666
RIBAS DO RIO PARDO,CO,MS,S715,"2018-01-18",442.0,-53.763028,-20.46666666
CACOAL,N,RO,A939,"2008-07-20",210.0,-61.434146,-11.44583333
TUPANCIRETA,S,RS,A886,"2016-08-11",462.0,-53.82665025,-29.0893814
SEROPEDICA-ECOLOGIA AGRICOLA,SE,RJ,A601,"2019-01-01",35.0,-43.68472221,-22.75777777
CAMPO NOVO DOS PARECIS,CO,MT,A905,"2002-12-13",570.0,-57.83333333,-13.78333333
URUSSANGA,S,SC,A814,"2008-05-29",48.0,-49.31527777,-28.53249999
AMARGOSA,NE,BA,A434,"2008-07-11",407.0,-39.616881,-13.00944444
CAROLINA,NE,MA,A205,"2007-12-04",192.0,-47.45972222,-7.33722221
SANTA ROSA DO TOCANTINS,N,TO,A052,"2015-08-14",306.0,-48.184889,-11.04638888
CHAPADA GAUCHA,SE,MG,A548,"2007-06-22",880.0,-45.61666666,-15.300159
CRISTALINA (FAZENDA SANTA MONICA),CO,GO,A056,"2018-01-25",932.0,-47.62583332,-16.39944444
UNA,NE,BA,A437,"2008-06-25",74.08,-39.0911111,-15.27999999
RIO BRANCO,N,AC,A104,"2008-07-11",223.52,-68.165,-9.95777777
PARAUNA,CO,GO,A027,"2008-03-29",678.74,-50.42527777,-16.94583333
QUARAI,S,RS,A831,"2007-10-17",124.0,-56.437115,-30.368578
CRATEUS,NE,CE,A342,"2008-12-11",298.19,-40.66999999,-5.1861111
VILA MILITAR,SE,RJ,A621,"2007-04-13",45.0,-43.41111111,-22.86083333
SAO SIMAO,SE,SP,A770,"2019-07-03",620.0,-47.57944443,-21.46111111
PALMARES,NE,PE,A357,"2008-09-04",180.0,-35.56805554,-8.66638888
GUANAMBI,NE,BA,A426,"2008-04-24",882.0,-42.74944444,-14.20805555
JAGUARIBE,NE,CE,A358,"2008-09-10",184.0,-38.62777777,-5.90527777
LABREA,N,AM,A111,"2008-07-27",64.0,-64.788501,-7.26055555
VICOSA,SE,MG,A510,"2005-09-15",712.2,-42.86388888,-20.762607
BACABAL,NE,MA,A220,"2008-07-09",28.0,-44.794993,-4.24305555
RIO NEGRINHO,S,SC,A862,"2008-03-22",869.0,-49.58055554,-26.248411
VENDA NOVA DO IMIGRANTE,SE,ES,A633,"2017-02-10",722.0,-41.189934,-20.25222222
CAMPOS DOS GOYTACAZES,SE,RJ,A607,"2019-01-01",17.0,-41.34388888,-21.71472222
NOVA FRIBURGO,SE,RJ,A624,"2010-09-17",1046.0,-42.67722221,-22.33305554
CARUARU,NE,PE,A341,"2007-11-21",852.0,-35.98583333,-8.2361111
BAIXA GRANDE DO RIBEIRO,NE,PI,A375,"2018-03-23",519.0,-45.094625,-8.333531
PARQUE ESTADUAL CHANDLESS,N,AC,A102,"2008-08-05",187.0,-69.92638888,-9.3575
OLIVEIRA,SE,MG,A570,"2017-10-19",1025.0,-44.86444444,-20.71472222
URUCARA,N,AM,A124,"2008-04-17",18.49,-57.758099,-2.534749
MACAE,SE,RJ,A608,"2006-09-22",32.0,-41.81194444,-22.3761111
NHUMIRIM,CO,MS,A717,"2006-08-02",102.26,-56.62277777,-18.9886111
JATAI,CO,GO,A016,"2007-05-23",670.08,-51.717467,-17.923622
UNAI,SE,MG,A542,"2007-06-16",640.85,-46.881935,-16.55388888
TEUTONIA,S,RS,A882,"2012-10-04",81.0,-51.82416666,-29.45027777
AMAMBAI,CO,MS,A750,"2008-06-11",433.59,-55.32944443,-23.0025
BALSAS,NE,MA,A204,"2007-10-26",271.03,-46.02749999,-7.45527777
ITUMBIARA,CO,GO,A035,"2007-11-01",491.17,-49.19194444,-18.40972222
JALES,SE,SP,A733,"2007-08-22",460.44,-50.59499999,-20.165
APIACAS,CO,MT,A910,"2006-10-24",220.0,-57.3936111,-9.56333333
SOLEDADE,S,RS,A837,"2008-03-01",667.0,-52.542387,-28.85361111
SERRA NOVA DOURADA,CO,MT,A943,"2019-03-29",441.0,-51.4261111,-11.98777777
MARILANDIA,SE,ES,A632,"2017-03-22",95.0,-40.53972221,-19.407181
CAMPOS DOS GOYTACAZES - SAO TOME,SE,RJ,A620,"2019-01-01",7.0,-41.05166666,-22.04166666
MARECHAL THAUMATURGO,N,AC,A137,"2009-10-27",230.0,-72.78666666,-8.95
JACOBINA,NE,BA,A440,"2008-05-01",453.0,-40.465,-11.205
OEIRAS,NE,PI,A354,"2008-07-22",156.0,-42.146831,-6.974135
AIMORES,SE,MG,A534,"2007-08-05",287.74,-41.090801,-19.532768
NOVA MARINGA,CO,MT,A928,"2008-04-16",353.0,-57.092201,-13.038642
PRIMAVERA DO LESTE,CO,MT,A923,"2017-10-26",680.0,-54.3811111,-15.57999999
BARRA DO CORDA,NE,MA,A221,"2008-03-06",154.19,-45.23694444,-5.50666666
TRES RIOS,SE,RJ,A625,"2016-06-08",305.0,-43.20833333,-22.09833333
TIMOTEO,SE,MG,A511,"2006-02-22",493.42,-42.62222221,-19.5736111
CURITIBANOS,S,SC,A860,"2008-02-28",978.1,-50.60416666,-27.2886111
MAL. CANDIDO RONDON,S,PR,A820,"2006-11-18",392.07,-54.01916666,-24.533303
CAMETA,N,PA,A236,"2008-06-20",22.0,-49.49305555,-2.239653
GENERAL CARNEIRO,S,PR,A875,"2008-04-30",1018.0,-51.35361111,-26.398473
CASTELO DO PIAUI,NE,PI,A361,"2009-04-20",286.0,-41.51222222,-5.34916666
SAQUAREMA,SE,RJ,A667,"2015-09-02",16.0,-42.60916666,-22.8711111
COLOMBO,S,PR,B806,"2016-06-01",950.0,-49.1575,-25.32222221
BRAZLANDIA,CO,DF,A042,"2017-07-19",1143.0,-48.1311111,-15.59972221
TERESINA,NE,PI,A312,"2004-11-24",75.23,-42.801341,-5.03472221
SALINOPOLIS,N,PA,A215,"2008-06-14",41.0,-47.356596,-0.6186111
SELVIRIA,CO,MS,S717,"2018-04-05",374.0,-51.430222,-20.35138888
CAMPOS NOVOS,S,SC,A898,"2019-02-15",963.0,-51.21583333,-27.3886111
ZE DOCA,NE,MA,A255,"2019-09-18",45.5,-45.65111111,-3.26916666
VALENCA DO PIAUI,NE,PI,A363,"2009-04-18",313.39,-41.739953,-6.39916666
